X1,X2,X3,X4,class
0.0,1.0,0.46010122819627153,0.5927444089753724,1.0
1.0,1.0,0.588787915812131,0.5749835871510092,0.0
0.0,0.0,0.4016406919272847,0.6793248321388419,1.0
1.0,1.0,0.3060759666375992,0.18210750582402757,0.0
0.0,0.0,0.962847380415031,0.5792453401503395,1.0
1.0,1.0,0.7281009213924426,0.382788860417118,0.0
1.0,0.0,0.14266544519129043,0.9070204205904031,1.0
1.0,0.0,0.7125350438591819,0.6067623733601027,0.0
1.0,0.0,0.616505735181776,0.5993601834323341,1.0
1.0,1.0,0.26874389169465385,0.2415259711065164,0.0
0.0,0.0,0.028767325522239817,0.279021689769102,1.0
1.0,0.0,0.43709466500566085,0.24033877033048523,0.0
0.0,0.0,0.15587814262589017,0.9350620373618704,1.0
1.0,1.0,0.7241088978456394,0.3406667872106023,0.0
0.0,0.0,0.10775789740363695,0.8347892986711904,1.0
1.0,1.0,0.7300307164938968,0.2840711389291112,0.0
0.0,1.0,0.606990217447549,0.5506805596166198,1.0
1.0,0.0,0.2274290870826432,0.3630415130217123,0.0
0.0,0.0,0.9722468569081489,0.9788486417050181,1.0
1.0,0.0,0.8953731242475234,0.4894832349748601,0.0
0.0,0.0,0.496976550514182,0.978473835121695,1.0
0.0,1.0,0.7945535238259879,0.07932121218190968,0.0
0.0,0.0,0.9330979354688452,0.6510919576380368,1.0
0.0,1.0,0.29377928622405647,0.49765975109945015,0.0
0.0,0.0,0.44281979072780775,0.36289953644281625,1.0
1.0,0.0,0.08966191934454237,0.012065928181838825,0.0
1.0,0.0,0.7892065478127487,0.9203005274812982,1.0
1.0,0.0,0.41338114003183535,0.03685702080561026,0.0
0.0,0.0,0.9895717293132769,0.2513037664674528,1.0
1.0,0.0,0.9017051394762433,0.2508339197055759,0.0
0.0,1.0,0.6244811725724068,0.8979212700357944,1.0
1.0,1.0,0.041274500658022295,0.37863369880196973,0.0
0.0,0.0,0.5870174205507918,0.03669265565421642,1.0
0.0,1.0,0.00824020038648865,0.37704960621893746,0.0
1.0,0.0,0.9243720313279663,0.9579613009161625,1.0
1.0,0.0,0.808339160535109,0.6046367186977873,0.0
1.0,0.0,0.7021365908689167,0.7816434011793414,1.0
0.0,1.0,0.8173166672204577,0.6240087244534236,0.0
0.0,0.0,0.6785688612650612,0.18322438894703263,1.0
1.0,1.0,0.5864911403939743,0.988173867534824,0.0
0.0,0.0,0.5852222218181609,0.1559062841776525,1.0
1.0,0.0,0.3721654934919193,0.15282639439112478,0.0
0.0,0.0,0.015922830409413113,0.38289853359766535,1.0
1.0,0.0,0.03311262528286529,0.23181806858385712,0.0
0.0,0.0,0.27193627646854057,0.7633888269112685,1.0
1.0,1.0,0.8069684689527015,0.26553936625095587,0.0
1.0,0.0,0.4360255682675891,0.870572826664788,1.0
1.0,1.0,0.4067105686266417,0.2330442373115087,0.0
1.0,0.0,0.6590261777629567,0.6571690642628745,1.0
1.0,1.0,0.5797955414105028,0.6044319390368057,0.0
0.0,1.0,0.4453941089142429,0.30774934082131833,1.0
1.0,1.0,0.8500758233674818,0.11551446677755672,0.0
0.0,0.0,0.3214906209325361,0.4938265889813085,1.0
1.0,1.0,0.8006661010596265,0.9606072205688935,0.0
0.0,1.0,0.057312980633086985,0.8804524874101431,1.0
1.0,0.0,0.7237916848734144,0.11840751837511021,0.0
1.0,0.0,0.3674488280335171,0.7327492992755619,1.0
1.0,0.0,0.10954329695010956,0.1825864475181359,0.0
0.0,0.0,0.11571308529674829,0.44376281493414593,1.0
1.0,0.0,0.6200069372352922,0.21664981090937108,0.0
0.0,1.0,0.5443482254300042,0.8731242380272235,1.0
0.0,1.0,0.11049821242465085,0.6636299174681268,0.0
1.0,0.0,0.3651343103822583,0.9650082113495747,1.0
1.0,1.0,0.6286902480844444,0.6260588375648316,0.0
1.0,0.0,0.10233409934013749,0.9856566024905719,1.0
1.0,1.0,0.8220101694638184,0.7095997989364132,0.0
0.0,1.0,0.6021302095295769,0.5115546023417777,1.0
1.0,0.0,0.10064822201807155,0.43996228880154653,0.0
0.0,0.0,0.02613605740991154,0.010881758109271722,1.0
1.0,0.0,0.2493066736406595,0.35044027721525084,0.0
0.0,0.0,0.24302424872485318,0.26558782243617196,1.0
0.0,1.0,0.46112758056363856,0.0735659680340176,0.0
0.0,0.0,0.14072911982741776,0.548143818250729,1.0
0.0,1.0,0.8312325337556885,0.10622280195338085,0.0
0.0,1.0,0.035857202703774904,0.7884537720661745,1.0
1.0,1.0,0.5451137954874536,0.651753451286361,0.0
0.0,1.0,0.1794859955920579,0.8415412015297906,1.0
0.0,1.0,0.22683700842967935,0.08252699793478036,0.0
0.0,0.0,0.7890369641178203,0.4472402854479143,1.0
1.0,1.0,0.706141419555617,0.3133365421367619,0.0
0.0,1.0,0.662149133354964,0.5839492411209143,1.0
1.0,0.0,0.6734446725036635,0.3586400324715123,0.0
1.0,0.0,0.2572448526610783,0.7852966128708105,1.0
0.0,1.0,0.26902447356337134,0.5191156677092797,0.0
1.0,0.0,0.6128657223795697,0.619243752903891,1.0
1.0,1.0,0.7874231334185512,0.06506953331687337,0.0
0.0,0.0,0.5435960911054507,0.8862533591141621,1.0
1.0,1.0,0.018394265570294888,0.12830922634234265,0.0
0.0,1.0,0.04968862993676526,0.9686852763611626,1.0
1.0,1.0,0.8803693132596955,0.06863707843149813,0.0
1.0,0.0,0.46443051071544583,0.27469934366025217,1.0
0.0,1.0,0.20685343605875217,0.2987682169614798,0.0
0.0,0.0,0.5274063159142329,0.11014460866192921,1.0
0.0,1.0,0.25629863207623604,0.3020389695042188,0.0
0.0,0.0,0.8774142419593461,0.4914609038079222,1.0
1.0,0.0,0.3325116980480193,0.4434821621070745,0.0
0.0,0.0,0.7466533434446323,0.07110701189852753,1.0
1.0,1.0,0.4355197276336569,0.5115418252547606,0.0
0.0,0.0,0.33316369894911724,0.42167656871308024,1.0
1.0,0.0,0.3134708838331387,0.47559020196069457,0.0
0.0,1.0,0.412135241006212,0.3565928826413567,1.0
0.0,1.0,0.8227273586810816,0.3486473555489269,0.0
1.0,0.0,0.6508788886690589,0.9334553595063152,1.0
1.0,1.0,0.26491417145275764,0.8132588657467476,0.0
0.0,0.0,0.5815305946997605,0.5410690599060693,1.0
1.0,0.0,0.3279117016597456,0.24655966493803094,0.0
1.0,0.0,0.4883481319909724,0.6649271532433084,1.0
1.0,0.0,0.18607546785062135,0.6592461710580446,0.0
0.0,0.0,0.8823215834056675,0.22036250161540283,1.0
1.0,0.0,0.7087842278753479,0.3542688539380616,0.0
0.0,0.0,0.4746134149744319,0.4002096737347849,1.0
0.0,1.0,0.926843282460949,0.2766595611100623,0.0
0.0,0.0,0.29002788676564395,0.8230370011078743,1.0
1.0,1.0,0.23722596013235453,0.06415691773567311,0.0
0.0,1.0,0.17131244456346395,0.9250582173475573,1.0
1.0,0.0,0.18291386616464,0.6618682457618296,0.0
0.0,1.0,0.4753185116393428,0.6746118230808814,1.0
1.0,1.0,0.5300402641878512,0.6334972852618173,0.0
0.0,0.0,0.8493922656511718,0.11039239639975829,1.0
1.0,1.0,0.13443024159742423,0.08077394993934095,0.0
0.0,1.0,0.09446993465507936,0.8944672152453115,1.0
1.0,1.0,0.5248141798800067,0.5427902191415297,0.0
1.0,0.0,0.49509672223144585,0.43770756071969774,1.0
1.0,1.0,0.8644352504782303,0.46735643130747073,0.0
0.0,0.0,0.11551911286630134,0.0636302184564026,1.0
1.0,1.0,0.25761774886173006,0.7818451316104013,0.0
0.0,1.0,0.41730225876354765,0.9334787145270057,1.0
1.0,1.0,0.017621018086029894,0.31088136931194765,0.0
0.0,0.0,0.37962356260696484,0.5237158676311899,1.0
1.0,0.0,0.19807506662602836,0.6456900214337378,0.0
0.0,1.0,0.5675467308202284,0.8268134160417363,1.0
1.0,1.0,0.9788205254879263,0.5021982577355629,0.0
0.0,1.0,0.13077650515310468,0.9950293168346983,1.0
1.0,1.0,0.14491827955282932,0.5718847284369275,0.0
1.0,0.0,0.629594848098219,0.5062911012155025,1.0
1.0,1.0,0.39270766725184636,0.005449110168485705,0.0
0.0,0.0,0.04645837624198046,0.5819406075008107,1.0
1.0,1.0,0.18073622636084496,0.2944459559646083,0.0
0.0,0.0,0.12377207242110078,0.6115792737715905,1.0
1.0,0.0,0.16685300110641965,0.29642583931615263,0.0
1.0,0.0,0.7050395723388976,0.800129231120724,1.0
